Word,Wordlength,Lexicality,Length,Morphology,Condition
bafé,4,pseudo,short,simple,PSS
baic,4,pseudo,short,simple,PSS
bait,4,pseudo,short,simple,PSS
bame,4,pseudo,short,simple,PSS
bane,4,pseudo,short,simple,PSS
bant,4,pseudo,short,simple,PSS
bobe,4,pseudo,short,simple,PSS
bone,4,pseudo,short,simple,PSS
boto,4,pseudo,short,simple,PSS
boup,4,pseudo,short,simple,PSS
boux,4,pseudo,short,simple,PSS
caic,4,pseudo,short,simple,PSS
caie,4,pseudo,short,simple,PSS
cain,4,pseudo,short,simple,PSS
cait,4,pseudo,short,simple,PSS
canc,4,pseudo,short,simple,PSS
cant,4,pseudo,short,simple,PSS
chau,4,pseudo,short,simple,PSS
chin,4,pseudo,short,simple,PSS
chit,4,pseudo,short,simple,PSS
cief,4,pseudo,short,simple,PSS
cieu,4,pseudo,short,simple,PSS
clel,4,pseudo,short,simple,PSS
cleu,4,pseudo,short,simple,PSS
fobe,4,pseudo,short,simple,PSS
fonc,4,pseudo,short,simple,PSS
foto,4,pseudo,short,simple,PSS
foue,4,pseudo,short,simple,PSS
fouf,4,pseudo,short,simple,PSS
foup,4,pseudo,short,simple,PSS
foux,4,pseudo,short,simple,PSS
lafé,4,pseudo,short,simple,PSS
lage,4,pseudo,short,simple,PSS
laic,4,pseudo,short,simple,PSS
lain,4,pseudo,short,simple,PSS
lanc,4,pseudo,short,simple,PSS
lane,4,pseudo,short,simple,PSS
lant,4,pseudo,short,simple,PSS
lase,4,pseudo,short,simple,PSS
lone,4,pseudo,short,simple,PSS
lont,4,pseudo,short,simple,PSS
lour,4,pseudo,short,simple,PSS
loux,4,pseudo,short,simple,PSS
mief,4,pseudo,short,simple,PSS
mieu,4,pseudo,short,simple,PSS
mobe,4,pseudo,short,simple,PSS
mone,4,pseudo,short,simple,PSS
mouf,4,pseudo,short,simple,PSS
moup,4,pseudo,short,simple,PSS
mour,4,pseudo,short,simple,PSS
moux,4,pseudo,short,simple,PSS
nafé,4,pseudo,short,simple,PSS
naie,4,pseudo,short,simple,PSS
nait,4,pseudo,short,simple,PSS
name,4,pseudo,short,simple,PSS
nanc,4,pseudo,short,simple,PSS
nane,4,pseudo,short,simple,PSS
nuic,4,pseudo,short,simple,PSS
nuie,4,pseudo,short,simple,PSS
nuin,4,pseudo,short,simple,PSS
oear,4,pseudo,short,simple,PSS
oeau,4,pseudo,short,simple,PSS
oenc,4,pseudo,short,simple,PSS
oent,4,pseudo,short,simple,PSS
oeue,4,pseudo,short,simple,PSS
oeur,4,pseudo,short,simple,PSS
pnef,4,pseudo,short,simple,PSS
pnel,4,pseudo,short,simple,PSS
pobe,4,pseudo,short,simple,PSS
ponc,4,pseudo,short,simple,PSS
pone,4,pseudo,short,simple,PSS
poto,4,pseudo,short,simple,PSS
poue,4,pseudo,short,simple,PSS
poup,4,pseudo,short,simple,PSS
rafé,4,pseudo,short,simple,PSS
raic,4,pseudo,short,simple,PSS
rant,4,pseudo,short,simple,PSS
ronc,4,pseudo,short,simple,PSS
rone,4,pseudo,short,simple,PSS
ront,4,pseudo,short,simple,PSS
roup,4,pseudo,short,simple,PSS
rour,4,pseudo,short,simple,PSS
scic,4,pseudo,short,simple,PSS
scin,4,pseudo,short,simple,PSS
scit,4,pseudo,short,simple,PSS
vafé,4,pseudo,short,simple,PSS
vage,4,pseudo,short,simple,PSS
vaic,4,pseudo,short,simple,PSS
vaie,4,pseudo,short,simple,PSS
vait,4,pseudo,short,simple,PSS
vame,4,pseudo,short,simple,PSS
vanc,4,pseudo,short,simple,PSS
vant,4,pseudo,short,simple,PSS
vave,4,pseudo,short,simple,PSS
vear,4,pseudo,short,simple,PSS
venc,4,pseudo,short,simple,PSS
vene,4,pseudo,short,simple,PSS
veue,4,pseudo,short,simple,PSS
veup,4,pseudo,short,simple,PSS
veur,4,pseudo,short,simple,PSS
aiant,5,pseudo,short,simple,PSS
aibon,5,pseudo,short,simple,PSS
ainte,5,pseudo,short,simple,PSS
aiver,5,pseudo,short,simple,PSS
ancal,5,pseudo,short,simple,PSS
auche,5,pseudo,short,simple,PSS
avace,5,pseudo,short,simple,PSS
avaci,5,pseudo,short,simple,PSS
avave,5,pseudo,short,simple,PSS
brace,5,pseudo,short,simple,PSS
brâce,5,pseudo,short,simple,PSS
brano,5,pseudo,short,simple,PSS
brice,5,pseudo,short,simple,PSS
brile,5,pseudo,short,simple,PSS
brulà,5,pseudo,short,simple,PSS
brule,5,pseudo,short,simple,PSS
brunt,5,pseudo,short,simple,PSS
claci,5,pseudo,short,simple,PSS
clane,5,pseudo,short,simple,PSS
clano,5,pseudo,short,simple,PSS
clave,5,pseudo,short,simple,PSS
cocre,5,pseudo,short,simple,PSS
coêle,5,pseudo,short,simple,PSS
coeue,5,pseudo,short,simple,PSS
coice,5,pseudo,short,simple,PSS
coile,5,pseudo,short,simple,PSS
glant,5,pseudo,short,simple,PSS
glave,5,pseudo,short,simple,PSS
glown,5,pseudo,short,simple,PSS
grâci,5,pseudo,short,simple,PSS
gribe,5,pseudo,short,simple,PSS
grice,5,pseudo,short,simple,PSS
grile,5,pseudo,short,simple,PSS
grule,5,pseudo,short,simple,PSS
grune,5,pseudo,short,simple,PSS
grure,5,pseudo,short,simple,PSS
hacal,5,pseudo,short,simple,PSS
hacre,5,pseudo,short,simple,PSS
hadio,5,pseudo,short,simple,PSS
hagur,5,pseudo,short,simple,PSS
hampa,5,pseudo,short,simple,PSS
heule,5,pseudo,short,simple,PSS
heuno,5,pseudo,short,simple,PSS
hiane,5,pseudo,short,simple,PSS
hiano,5,pseudo,short,simple,PSS
hiave,5,pseudo,short,simple,PSS
hinon,5,pseudo,short,simple,PSS
hinou,5,pseudo,short,simple,PSS
hinsi,5,pseudo,short,simple,PSS
hinte,5,pseudo,short,simple,PSS
hoeue,5,pseudo,short,simple,PSS
hoibe,5,pseudo,short,simple,PSS
hoice,5,pseudo,short,simple,PSS
honou,5,pseudo,short,simple,PSS
honsi,5,pseudo,short,simple,PSS
houre,5,pseudo,short,simple,PSS
lacre,5,pseudo,short,simple,PSS
ladio,5,pseudo,short,simple,PSS
laglà,5,pseudo,short,simple,PSS
lagle,5,pseudo,short,simple,PSS
lague,5,pseudo,short,simple,PSS
loile,5,pseudo,short,simple,PSS
loêle,5,pseudo,short,simple,PSS
loeue,5,pseudo,short,simple,PSS
loeur,5,pseudo,short,simple,PSS
loile,5,pseudo,short,simple,PSS
lonsi,5,pseudo,short,simple,PSS
moeur,5,pseudo,short,simple,PSS
moibe,5,pseudo,short,simple,PSS
moici,5,pseudo,short,simple,PSS
moilà,5,pseudo,short,simple,PSS
piaci,5,pseudo,short,simple,PSS
piave,5,pseudo,short,simple,PSS
pinou,5,pseudo,short,simple,PSS
pocal,5,pseudo,short,simple,PSS
poeur,5,pseudo,short,simple,PSS
poibe,5,pseudo,short,simple,PSS
poice,5,pseudo,short,simple,PSS
pouno,5,pseudo,short,simple,PSS
prâce,5,pseudo,short,simple,PSS
prâci,5,pseudo,short,simple,PSS
prane,5,pseudo,short,simple,PSS
price,5,pseudo,short,simple,PSS
prici,5,pseudo,short,simple,PSS
prilà,5,pseudo,short,simple,PSS
prile,5,pseudo,short,simple,PSS
racre,5,pseudo,short,simple,PSS
rague,5,pseudo,short,simple,PSS
règue,5,pseudo,short,simple,PSS
règur,5,pseudo,short,simple,PSS
siaci,5,pseudo,short,simple,PSS
siver,5,pseudo,short,simple,PSS
sussi,5,pseudo,short,simple,PSS
vocre,5,pseudo,short,simple,PSS
voêle,5,pseudo,short,simple,PSS
voeue,5,pseudo,short,simple,PSS
voibe,5,pseudo,short,simple,PSS
voice,5,pseudo,short,simple,PSS
vonsi,5,pseudo,short,simple,PSS
voure,5,pseudo,short,simple,PSS
balant,6,pseudo,short,simple,PSS
maisin,6,pseudo,short,simple,PSS
camais,6,pseudo,short,simple,PSS
solais,6,pseudo,short,simple,PSS
crange,6,pseudo,short,simple,PSS
cranas,6,pseudo,short,simple,PSS
orayon,6,pseudo,short,simple,PSS
gloche,6,pseudo,short,simple,PSS
salise,6,pseudo,short,simple,PSS
voleil,6,pseudo,short,simple,PSS
solant,6,pseudo,short,simple,PSS
oranas,6,pseudo,short,simple,PSS
cloire,6,pseudo,short,simple,PSS
valade,6,pseudo,short,simple,PSS
volade,6,pseudo,short,simple,PSS
jamion,6,pseudo,short,simple,PSS
salais,6,pseudo,short,simple,PSS
anange,6,pseudo,short,simple,PSS
solade,6,pseudo,short,simple,PSS
bali,4,pseudo,short,complex,PSC
bant,4,pseudo,short,complex,PSC
baté,4,pseudo,short,complex,PSC
boie,4,pseudo,short,complex,PSC
boli,4,pseudo,short,complex,PSC
bonu,4,pseudo,short,complex,PSC
bori,4,pseudo,short,complex,PSC
bors,4,pseudo,short,complex,PSC
bort,4,pseudo,short,complex,PSC
boux,4,pseudo,short,complex,PSC
buri,4,pseudo,short,complex,PSC
burs,4,pseudo,short,complex,PSC
busé,4,pseudo,short,complex,PSC
doie,4,pseudo,short,complex,PSC
doli,4,pseudo,short,complex,PSC
dols,4,pseudo,short,complex,PSC
dori,4,pseudo,short,complex,PSC
doue,4,pseudo,short,complex,PSC
dous,4,pseudo,short,complex,PSC
fécs,4,pseudo,short,complex,PSC
fécu,4,pseudo,short,complex,PSC
fuée,4,pseudo,short,complex,PSC
fure,4,pseudo,short,complex,PSC
furi,4,pseudo,short,complex,PSC
futs,4,pseudo,short,complex,PSC
livé,4,pseudo,short,complex,PSC
moie,4,pseudo,short,complex,PSC
moli,4,pseudo,short,complex,PSC
monu,4,pseudo,short,complex,PSC
mori,4,pseudo,short,complex,PSC
moux,4,pseudo,short,complex,PSC
mûrt,4,pseudo,short,complex,PSC
rali,4,pseudo,short,complex,PSC
rals,4,pseudo,short,complex,PSC
rans,4,pseudo,short,complex,PSC
rant,4,pseudo,short,complex,PSC
ranu,4,pseudo,short,complex,PSC
roie,4,pseudo,short,complex,PSC
roli,4,pseudo,short,complex,PSC
rols,4,pseudo,short,complex,PSC
ront,4,pseudo,short,complex,PSC
rore,4,pseudo,short,complex,PSC
rori,4,pseudo,short,complex,PSC
rors,4,pseudo,short,complex,PSC
rort,4,pseudo,short,complex,PSC
rous,4,pseudo,short,complex,PSC
rure,4,pseudo,short,complex,PSC
ruri,4,pseudo,short,complex,PSC
rurs,4,pseudo,short,complex,PSC
rurt,4,pseudo,short,complex,PSC
ruté,4,pseudo,short,complex,PSC
ruts,4,pseudo,short,complex,PSC
sant,4,pseudo,short,complex,PSC
sase,4,pseudo,short,complex,PSC
sasé,4,pseudo,short,complex,PSC
saté,4,pseudo,short,complex,PSC
sats,4,pseudo,short,complex,PSC
secu,4,pseudo,short,complex,PSC
seli,4,pseudo,short,complex,PSC
senu,4,pseudo,short,complex,PSC
seue,4,pseudo,short,complex,PSC
seus,4,pseudo,short,complex,PSC
seux,4,pseudo,short,complex,PSC
sonu,4,pseudo,short,complex,PSC
sore,4,pseudo,short,complex,PSC
surt,4,pseudo,short,complex,PSC
suse,4,pseudo,short,complex,PSC
susé,4,pseudo,short,complex,PSC
suté,4,pseudo,short,complex,PSC
suts,4,pseudo,short,complex,PSC
tali,4,pseudo,short,complex,PSC
tals,4,pseudo,short,complex,PSC
tanu,4,pseudo,short,complex,PSC
tase,4,pseudo,short,complex,PSC
tasé,4,pseudo,short,complex,PSC
taté,4,pseudo,short,complex,PSC
tats,4,pseudo,short,complex,PSC
toli,4,pseudo,short,complex,PSC
tols,4,pseudo,short,complex,PSC
tont,4,pseudo,short,complex,PSC
tonu,4,pseudo,short,complex,PSC
tori,4,pseudo,short,complex,PSC
vecs,4,pseudo,short,complex,PSC
vécs,4,pseudo,short,complex,PSC
vecu,4,pseudo,short,complex,PSC
vées,4,pseudo,short,complex,PSC
veli,4,pseudo,short,complex,PSC
vels,4,pseudo,short,complex,PSC
vens,4,pseudo,short,complex,PSC
veue,4,pseudo,short,complex,PSC
veus,4,pseudo,short,complex,PSC
vité,4,pseudo,short,complex,PSC
vivé,4,pseudo,short,complex,PSC
yecs,4,pseudo,short,complex,PSC
yecu,4,pseudo,short,complex,PSC
yeli,4,pseudo,short,complex,PSC
yels,4,pseudo,short,complex,PSC
yent,4,pseudo,short,complex,PSC
yeue,4,pseudo,short,complex,PSC
yeus,4,pseudo,short,complex,PSC
ailif,5,pseudo,short,complex,PSC
ailin,5,pseudo,short,complex,PSC
ailit,5,pseudo,short,complex,PSC
ainal,5,pseudo,short,complex,PSC
ainté,5,pseudo,short,complex,PSC
aints,5,pseudo,short,complex,PSC
belet,5,pseudo,short,complex,PSC
belif,5,pseudo,short,complex,PSC
belin,5,pseudo,short,complex,PSC
bemes,5,pseudo,short,complex,PSC
bemet,5,pseudo,short,complex,PSC
bevol,5,pseudo,short,complex,PSC
bevui,5,pseudo,short,complex,PSC
bevur,5,pseudo,short,complex,PSC
bevus,5,pseudo,short,complex,PSC
chage,5,pseudo,short,complex,PSC
chaté,5,pseudo,short,complex,PSC
choue,5,pseudo,short,complex,PSC
choui,5,pseudo,short,complex,PSC
chous,5,pseudo,short,complex,PSC
clour,5,pseudo,short,complex,PSC
cloux,5,pseudo,short,complex,PSC
enfif,5,pseudo,short,complex,PSC
enfit,5,pseudo,short,complex,PSC
enfue,5,pseudo,short,complex,PSC
enfur,5,pseudo,short,complex,PSC
enfus,5,pseudo,short,complex,PSC
enfux,5,pseudo,short,complex,PSC
envue,5,pseudo,short,complex,PSC
envui,5,pseudo,short,complex,PSC
envur,5,pseudo,short,complex,PSC
envus,5,pseudo,short,complex,PSC
envux,5,pseudo,short,complex,PSC
filit,5,pseudo,short,complex,PSC
fints,5,pseudo,short,complex,PSC
gaier,5,pseudo,short,complex,PSC
gaits,5,pseudo,short,complex,PSC
galer,5,pseudo,short,complex,PSC
galif,5,pseudo,short,complex,PSC
galin,5,pseudo,short,complex,PSC
gruer,5,pseudo,short,complex,PSC
gruet,5,pseudo,short,complex,PSC
hâtin,5,pseudo,short,complex,PSC
impue,5,pseudo,short,complex,PSC
impui,5,pseudo,short,complex,PSC
impus,5,pseudo,short,complex,PSC
impux,5,pseudo,short,complex,PSC
maier,5,pseudo,short,complex,PSC
maiet,5,pseudo,short,complex,PSC
maits,5,pseudo,short,complex,PSC
malif,5,pseudo,short,complex,PSC
masal,5,pseudo,short,complex,PSC
mueur,5,pseudo,short,complex,PSC
mueux,5,pseudo,short,complex,PSC
naies,5,pseudo,short,complex,PSC
naiet,5,pseudo,short,complex,PSC
naits,5,pseudo,short,complex,PSC
nales,5,pseudo,short,complex,PSC
paiet,5,pseudo,short,complex,PSC
paits,5,pseudo,short,complex,PSC
palif,5,pseudo,short,complex,PSC
pasal,5,pseudo,short,complex,PSC
ponal,5,pseudo,short,complex,PSC
pouer,5,pseudo,short,complex,PSC
poues,5,pseudo,short,complex,PSC
pouet,5,pseudo,short,complex,PSC
rains,5,pseudo,short,complex,PSC
rales,5,pseudo,short,complex,PSC
ralin,5,pseudo,short,complex,PSC
ralle,5,pseudo,short,complex,PSC
reier,5,pseudo,short,complex,PSC
reies,5,pseudo,short,complex,PSC
reiet,5,pseudo,short,complex,PSC
reits,5,pseudo,short,complex,PSC
reles,5,pseudo,short,complex,PSC
relif,5,pseudo,short,complex,PSC
relin,5,pseudo,short,complex,PSC
relle,5,pseudo,short,complex,PSC
remer,5,pseudo,short,complex,PSC
remes,5,pseudo,short,complex,PSC
revol,5,pseudo,short,complex,PSC
revui,5,pseudo,short,complex,PSC
revur,5,pseudo,short,complex,PSC
revux,5,pseudo,short,complex,PSC
ronal,5,pseudo,short,complex,PSC
ronts,5,pseudo,short,complex,PSC
skiet,5,pseudo,short,complex,PSC
skité,5,pseudo,short,complex,PSC
skits,5,pseudo,short,complex,PSC
têter,5,pseudo,short,complex,PSC
têtif,5,pseudo,short,complex,PSC
têtin,5,pseudo,short,complex,PSC
têtit,5,pseudo,short,complex,PSC
tueue,5,pseudo,short,complex,PSC
tueui,5,pseudo,short,complex,PSC
tueus,5,pseudo,short,complex,PSC
tueux,5,pseudo,short,complex,PSC
tural,5,pseudo,short,complex,PSC
usaté,5,pseudo,short,complex,PSC
usats,5,pseudo,short,complex,PSC
bartel,6,pseudo,short,complex,PSC
bartes,6,pseudo,short,complex,PSC
bottel,6,pseudo,short,complex,PSC
carils,6,pseudo,short,complex,PSC
doirée,6,pseudo,short,complex,PSC
fleuds,6,pseudo,short,complex,PSC
jourvu,6,pseudo,short,complex,PSC
mormal,6,pseudo,short,complex,PSC
noeurs,6,pseudo,short,complex,PSC
nortel,6,pseudo,short,complex,PSC
nortes,6,pseudo,short,complex,PSC
poueur,6,pseudo,short,complex,PSC
soigts,6,pseudo,short,complex,PSC
boudron,7,pseudo,long,simple,PLS
bourage,7,pseudo,long,simple,PLS
bouvoie,7,pseudo,long,simple,PLS
chapent,7,pseudo,long,simple,PLS
constal,7,pseudo,long,simple,PLS
coudron,7,pseudo,long,simple,PLS
courbon,7,pseudo,long,simple,PLS
couvoie,7,pseudo,long,simple,PLS
gourage,7,pseudo,long,simple,PLS
gourbon,7,pseudo,long,simple,PLS
gouvoie,7,pseudo,long,simple,PLS
greille,7,pseudo,long,simple,PLS
hôpitat,7,pseudo,long,simple,PLS
orenade,7,pseudo,long,simple,PLS
serpeau,7,pseudo,long,simple,PLS
voudron,7,pseudo,long,simple,PLS
vourage,7,pseudo,long,simple,PLS
vourbon,7,pseudo,long,simple,PLS
absiette,8,pseudo,long,simple,PLS
absietti,8,pseudo,long,simple,PLS
agrisson,8,pseudo,long,simple,PLS
amalange,8,pseudo,long,simple,PLS
assietti,8,pseudo,long,simple,PLS
assinthe,8,pseudo,long,simple,PLS
carruque,8,pseudo,long,simple,PLS
chalange,8,pseudo,long,simple,PLS
chalgame,8,pseudo,long,simple,PLS
chocoeur,8,pseudo,long,simple,PLS
confette,8,pseudo,long,simple,PLS
courmand,8,pseudo,long,simple,PLS
courmant,8,pseudo,long,simple,PLS
couvette,8,pseudo,long,simple,PLS
couvetti,8,pseudo,long,simple,PLS
creverte,8,pseudo,long,simple,PLS
crevetti,8,pseudo,long,simple,PLS
elephand,8,pseudo,long,simple,PLS
gourmant,8,pseudo,long,simple,PLS
gouverte,8,pseudo,long,simple,PLS
gouvette,8,pseudo,long,simple,PLS
héricole,8,pseudo,long,simple,PLS
perrosse,8,pseudo,long,simple,PLS
phalgame,8,pseudo,long,simple,PLS
phapitre,8,pseudo,long,simple,PLS
rancolat,8,pseudo,long,simple,PLS
acquessus,9,pseudo,long,simple,PLS
acquestal,9,pseudo,long,simple,PLS
acquestre,9,pseudo,long,simple,PLS
acquieste,9,pseudo,long,simple,PLS
aubellite,9,pseudo,long,simple,PLS
aubellule,9,pseudo,long,simple,PLS
bourgerou,9,pseudo,long,simple,PLS
boussière,9,pseudo,long,simple,PLS
consenlit,9,pseudo,long,simple,PLS
crocessus,9,pseudo,long,simple,PLS
crocestal,9,pseudo,long,simple,PLS
crocestre,9,pseudo,long,simple,PLS
dingembre,9,pseudo,long,simple,PLS
dingouron,9,pseudo,long,simple,PLS
dingourou,9,pseudo,long,simple,PLS
dingouste,9,pseudo,long,simple,PLS
dinoscope,9,pseudo,long,simple,PLS
gingouron,9,pseudo,long,simple,PLS
gingourou,9,pseudo,long,simple,PLS
gingouste,9,pseudo,long,simple,PLS
ginosaure,9,pseudo,long,simple,PLS
ginoscope,9,pseudo,long,simple,PLS
horosaure,9,pseudo,long,simple,PLS
hurricite,9,pseudo,long,simple,PLS
kangembre,9,pseudo,long,simple,PLS
kangouron,9,pseudo,long,simple,PLS
kangouste,9,pseudo,long,simple,PLS
kanifesça,9,pseudo,long,simple,PLS
kanifeste,9,pseudo,long,simple,PLS
langembre,9,pseudo,long,simple,PLS
langouron,9,pseudo,long,simple,PLS
langourou,9,pseudo,long,simple,PLS
lanifesça,9,pseudo,long,simple,PLS
lanifeste,9,pseudo,long,simple,PLS
libellite,9,pseudo,long,simple,PLS
libergine,9,pseudo,long,simple,PLS
mangembre,9,pseudo,long,simple,PLS
mangouron,9,pseudo,long,simple,PLS
mangourou,9,pseudo,long,simple,PLS
manifesça,9,pseudo,long,simple,PLS
orchessus,9,pseudo,long,simple,PLS
orchestal,9,pseudo,long,simple,PLS
piédessus,9,pseudo,long,simple,PLS
piédestre,9,pseudo,long,simple,PLS
pissensus,9,pseudo,long,simple,PLS
pourgeron,9,pseudo,long,simple,PLS
pourgerou,9,pseudo,long,simple,PLS
pourgogne,9,pseudo,long,simple,PLS
procestal,9,pseudo,long,simple,PLS
procestre,9,pseudo,long,simple,PLS
procodile,9,pseudo,long,simple,PLS
satellule,9,pseudo,long,simple,PLS
séquessus,9,pseudo,long,simple,PLS
séquestal,9,pseudo,long,simple,PLS
séquiesça,9,pseudo,long,simple,PLS
séquieste,9,pseudo,long,simple,PLS
sollicane,9,pseudo,long,simple,PLS
justial,7,pseudo,long,complex,PLC
étoilet,7,pseudo,long,complex,PLC
billons,7,pseudo,long,complex,PLC
baladie,7,pseudo,long,complex,PLC
spatice,7,pseudo,long,complex,PLC
mallons,7,pseudo,long,complex,PLC
défonnu,7,pseudo,long,complex,PLC
tortail,7,pseudo,long,complex,PLC
billeau,7,pseudo,long,complex,PLC
inconce,7,pseudo,long,complex,PLC
portues,7,pseudo,long,complex,PLC
balleau,7,pseudo,long,complex,PLC
mallets,7,pseudo,long,complex,PLC
roulets,7,pseudo,long,complex,PLC
malleau,7,pseudo,long,complex,PLC
instagne,8,pseudo,long,complex,PLC
sécision,8,pseudo,long,complex,PLC
vrançais,8,pseudo,long,complex,PLC
sucetons,8,pseudo,long,complex,PLC
uniffres,8,pseudo,long,complex,PLC
fraiment,8,pseudo,long,complex,PLC
chiforme,8,pseudo,long,complex,PLC
céréalet,8,pseudo,long,complex,PLC
chevales,8,pseudo,long,complex,PLC
décurité,8,pseudo,long,complex,PLC
montable,8,pseudo,long,complex,PLC
contrance,9,pseudo,long,complex,PLC
inforrent,9,pseudo,long,complex,PLC
incortune,9,pseudo,long,complex,PLC
contiment,9,pseudo,long,complex,PLC
sentraire,9,pseudo,long,complex,PLC
bournevis,9,pseudo,long,complex,PLC
bournesol,9,pseudo,long,complex,PLC
assuraire,9,pseudo,long,complex,PLC
récompose,9,pseudo,long,complex,PLC
touteille,9,pseudo,long,complex,PLC
déconfort,9,pseudo,long,complex,PLC
déconford,9,pseudo,long,complex,PLC
désaccort,9,pseudo,long,complex,PLC
décorrent,9,pseudo,long,complex,PLC
incouvert,9,pseudo,long,complex,PLC
recompoir,9,pseudo,long,complex,PLC
incompose,9,pseudo,long,complex,PLC
sentrance,9,pseudo,long,complex,PLC
incorrent,9,pseudo,long,complex,PLC
inconford,9,pseudo,long,complex,PLC
désespose,9,pseudo,long,complex,PLC
récompoir,9,pseudo,long,complex,PLC
différect,9,pseudo,long,complex,PLC
récouvert,9,pseudo,long,complex,PLC
récorrent,9,pseudo,long,complex,PLC
réconford,9,pseudo,long,complex,PLC
recorrect,9,pseudo,long,complex,PLC
décortune,9,pseudo,long,complex,PLC
décorrect,9,pseudo,long,complex,PLC
récortune,9,pseudo,long,complex,PLC
recortune,9,pseudo,long,complex,PLC
reconford,9,pseudo,long,complex,PLC
décompoir,9,pseudo,long,complex,PLC
reconfort,9,pseudo,long,complex,PLC
inforrect,9,pseudo,long,complex,PLC
incompoir,9,pseudo,long,complex,PLC
recorrent,9,pseudo,long,complex,PLC
