Numéro,Mot,Cat.Gram,Fréquence,numbre de lettres,structure morpho,Condition,Nombre de lettres,orthographic neighborhood,Unnamed: 4,Numéro.1,Mot.1,Nombre de lettres.1,orthographic neighborhood.1
9,serpent,N,4.02,7.0,0-1-0,réel_haut_long_simple,,,,,,,
10,conseil,N,88.05620609,7.0,0-1-0,réel_haut_long_simple,,,,,,,
11,liquide,N/Adj,71.8969555,7.0,0-1-0,réel_haut_long_simple,,,,,,,
12,constat,N,82.43559719,7.0,0-1-0,réel_haut_long_simple,,,,,,,
13,placide,Adj,73.53629977,7.0,0-1-0,réel_haut_long_simple,,,,,,,
14,bourbon,N/Adj,91.10070258,7.0,0-1-0,réel_haut_long_simple,,,,,,,
15,goudron,N,75.17564403,7.0,0-1-0,réel_haut_long_simple,,,,,,,
1,chocolat,N,4.49,8.0,0-1-0,réel_haut_long_simple,,,,,,,
2,assiette,N,4.07,8.0,0-1-0,réel_haut_long_simple,,,,,,,
3,ceinture,N,4.27,8.0,0-1-0,réel_haut_long_simple,,,,,,,
4,perruque,N,94.84777518,8.0,0-1-0,réel_haut_long_simple,,,,,,,
5,phalange,N,90.16393443,8.0,0-1-0,réel_haut_long_simple,,,,,,,
6,agricole,Adj,81.264637,8.0,0-1-0,réel_haut_long_simple,,,,,,,
7,gourmand,Adj/N,71.66276347,8.0,0-1-0,réel_haut_long_simple,,,,,,,
8,angoisse,N,71.19437939,8.0,0-1-0,réel_haut_long_simple,,,,,,,
9,amalgame,N,75.6440281,8.0,0-1-0,réel_haut_long_simple,,,,,,,
10,conquête,N,88.7587822,8.0,0-1-0,réel_haut_long_simple,,,,,,,
11,zodiaque,N,92.97423888,8.0,0-1-0,réel_haut_long_simple,,,,,,,
12,personne,N,93.91100703,8.0,0-1-0,réel_haut_long_simple,,,,,,,
13,confetti,N,96.72131148,8.0,0-1-0,réel_haut_long_simple,,,,,,,
14,immeuble,N,99.29742389,8.0,0-1-0,réel_haut_long_simple,,,,,,,
15,perplexe,Adj,96.48711944,8.0,0-1-0,réel_haut_long_simple,,,,,,,
1,gingembre,N,92.74004684,9.0,0-1-0,réel_haut_long_simple,,,,,,,
2,acquiesça,V,89.22716628,9.0,0-1-0,réel_haut_long_simple,,,,,,,
3,phénomène,N,88.99297424,9.0,0-1-0,réel_haut_long_simple,,,,,,,
4,consensus,N,85.94847775,9.0,0-1-0,réel_haut_long_simple,,,,,,,
5,séquestre,N/Adj,85.48009368,9.0,0-1-0,réel_haut_long_simple,,,,,,,
6,bourgeron,N,84.77751756,9.0,0-1-0,réel_haut_long_simple,,,,,,,
7,piédestal,N,84.54332553,9.0,0-1-0,réel_haut_long_simple,,,,,,,
8,bourgogne,N/Adj,84.30913349,9.0,0-1-0,réel_haut_long_simple,,,,,,,
9,léthargie,N,78.68852459,9.0,0-1-0,réel_haut_long_simple,,,,,,,
10,pissenlit,N,78.22014052,9.0,0-1-0,réel_haut_long_simple,,,,,,,
11,sollicite,V,74.00468384,9.0,0-1-0,réel_haut_long_simple,,,,,,,
12,poussière,N,4.11,9.0,0-1-0,réel_haut_long_simple,,,,,,,
13,manifeste,Adj/N,4.2,9.0,0-1-0,réel_haut_long_simple,,,,,,,
14,préalable,Adj/N,4.14,9.0,0-1-0,réel_haut_long_simple,,,,,,,
15,processus,N,4.79,9.0,0-1-0,réel_haut_long_simple,,,,,,,
1,portail,N,4.14,7.0,0-1-1,réel_haut_long_complexe,,,,,,,
2,étoiles,N,4.59,7.0,0-1-1,réel_haut_long_complexe,,,,,,,
3,légumes,N,4.27,7.0,0-1-1,réel_haut_long_complexe,,,,,,,
4,poignée,N,4.13,7.0,0-1-1,réel_haut_long_complexe,,,,,,,
5,billets,N,4.48,7.0,0-1-1,réel_haut_long_complexe,,,,,,,
6,clients,N,4.83,7.0,0-1-1,réel_haut_long_complexe,,,,,,,
7,naturel,Adj,4.72,7.0,0-1-1,réel_haut_long_complexe,,,,,,,
8,inconnu,Adj,4.38,7.0,1-1-0,réel_haut_long_complexe,,,,,,,
9,illégal,Adj,4.06,7.0,1-1-0,réel_haut_long_complexe,,,,,,,
10,mariage,N,5.05,7.0,0-1-1,réel_haut_long_complexe,,,,,,,
11,liberté,N,5.05,7.0,0-1-1,réel_haut_long_complexe,,,,,,,
12,justice,N,5.12,7.0,0-1-1,réel_haut_long_complexe,,,,,,,
13,artiste,N,4.74,7.0,0-1-1,réel_haut_long_complexe,,,,,,,
14,maladie,N,4.88,7.0,0-1-1,réel_haut_long_complexe,,,,,,,
15,réalité,N,5.04,7.0,0-1-1,réel_haut_long_complexe,,,,,,,
1,insectes,N,4.13,8.0,0-1-1,réel_haut_long_complexe,,,,,,,
2,uniforme,N,4.26,8.0,0-1-1,réel_haut_long_complexe,,,,,,,
3,poissons,N,4.43,8.0,0-1-1,réel_haut_long_complexe,,,,,,,
4,colonnes,N,4.08,8.0,0-1-1,réel_haut_long_complexe,,,,,,,
5,montagne,N,4.62,8.0,0-1-1,réel_haut_long_complexe,,,,,,,
6,céréales,N,4.08,8.0,0-1-1,réel_haut_long_complexe,,,,,,,
7,chiffres,N,4.76,8.0,0-1-1,réel_haut_long_complexe,,,,,,,
8,remarque,N,4.54,8.0,1-1-0,réel_haut_long_complexe,,,,,,,
9,sécurité,N,5.24,8.0,0-1-1,réel_haut_long_complexe,,,,,,,
10,étranger,N,4.86,8.0,0-1-1,réel_haut_long_complexe,,,,,,,
11,décision,N,4.97,8.0,0-1-1,réel_haut_long_complexe,,,,,,,
12,quartier,N,4.93,8.0,0-1-1,réel_haut_long_complexe,,,,,,,
13,deuxième,Adj,5.24,8.0,0-1-1,réel_haut_long_complexe,,,,,,,
14,vraiment,Adv,5.8,8.0,0-1-1,réel_haut_long_complexe,,,,,,,
15,français,Adj/N,5.78,8.0,0-1-1,réel_haut_long_complexe,,,,,,,
1,cigarette,N,4.1,9.0,0-1-1,réel_haut_long_complexe,,,,,,,
2,bouteille,N,4.41,9.0,0-1-1,réel_haut_long_complexe,,,,,,,
3,médailles,N,4.08,9.0,0-1-1,réel_haut_long_complexe,,,,,,,
4,chauffage,N,4.08,9.0,0-1-1,réel_haut_long_complexe,,,,,,,
5,téléphone,N,5.0,9.0,0-1-1,réel_haut_long_complexe,,,,,,,
6,assurance,N,4.74,9.0,0-1-1,réel_haut_long_complexe,,,,,,,
7,éducation,N,4.95,9.0,0-1-1,réel_haut_long_complexe,,,,,,,
8,découvert,Adj/N,4.72,9.0,0-1-1,réel_haut_long_complexe,,,,,,,
9,sentiment,N,4.7,9.0,0-1-1,réel_haut_long_complexe,,,,,,,
10,seulement,Adv,5.47,9.0,0-1-1,réel_haut_long_complexe,,,,,,,
11,différent,Adj ,4.67,9.0,0-1-1,réel_haut_long_complexe,,,,,,,
12,contraire,Adj/N,4.98,9.0,0-1-1,réel_haut_long_complexe,,,,,,,
13,également,Adv,5.59,9.0,0-1-1,réel_haut_long_complexe,,,,,,,
14,américain,N/Adj,5.06,9.0,0-1-1,réel_haut_long_complexe,,,,,,,
15,personnel,N/Adj,4.95,9.0,0-1-1,réel_haut_long_complexe,,,,,,,
1,bafé,,,,,pseudo_court_simple,4.0,,,1.0,bafé,4.0,
2,baic,,,,,pseudo_court_simple,4.0,,,2.0,boto,4.0,
3,bait,,,,,pseudo_court_simple,4.0,,,3.0,caie,4.0,
4,bame,,,,,pseudo_court_simple,4.0,,,4.0,chin,4.0,
5,bane,,,,,pseudo_court_simple,4.0,,,5.0,cief,4.0,
6,bant,,,,,pseudo_court_simple,4.0,,,6.0,fonc,4.0,
7,bobe,,,,,pseudo_court_simple,4.0,,,7.0,lone,4.0,
8,bone,,,,,pseudo_court_simple,4.0,,,8.0,nuin,4.0,
9,boto,,,,,pseudo_court_simple,4.0,,,9.0,oear,4.0,
10,boup,,,,,pseudo_court_simple,4.0,,,10.0,ponc,4.0,
11,boux,,,,,pseudo_court_simple,4.0,,,11.0,ronc,4.0,
12,caic,,,,,pseudo_court_simple,4.0,,,12.0,vaic,4.0,
13,caie,,,,,pseudo_court_simple,4.0,,,13.0,vame,4.0,
14,cain,,,,,pseudo_court_simple,4.0,,,14.0,vave,4.0,
15,cait,,,,,pseudo_court_simple,4.0,,,15.0,veur,4.0,
16,canc,,,,,pseudo_court_simple,4.0,,,1.0,aiver,5.0,
17,cant,,,,,pseudo_court_simple,4.0,,,2.0,auche,5.0,
18,chau,,,,,pseudo_court_simple,4.0,,,3.0,coêle,5.0,
19,chin,,,,,pseudo_court_simple,4.0,,,4.0,grune,5.0,
20,chit,,,,,pseudo_court_simple,4.0,,,5.0,hacal,5.0,
21,cief,,,,,pseudo_court_simple,4.0,,,6.0,hiane,5.0,
22,cieu,,,,,pseudo_court_simple,4.0,,,7.0,lacre,5.0,
23,clel,,,,,pseudo_court_simple,4.0,,,8.0,ladio,5.0,
24,cleu,,,,,pseudo_court_simple,4.0,,,9.0,loile,5.0,
25,fobe,,,,,pseudo_court_simple,4.0,,,10.0,moilà,5.0,
26,fonc,,,,,pseudo_court_simple,4.0,,,11.0,pocal,5.0,
27,foto,,,,,pseudo_court_simple,4.0,,,12.0,prilà,5.0,
28,foue,,,,,pseudo_court_simple,4.0,,,13.0,règue,5.0,
29,fouf,,,,,pseudo_court_simple,4.0,,,14.0,vocre,5.0,
30,foup,,,,,pseudo_court_simple,4.0,,,15.0,voure,5.0,
31,foux,,,,,pseudo_court_simple,4.0,,,1.0,camais,6.0,
32,lafé,,,,,pseudo_court_simple,4.0,,,2.0,cloire,6.0,
33,lage,,,,,pseudo_court_simple,4.0,,,3.0,cranas,6.0,
34,laic,,,,,pseudo_court_simple,4.0,,,4.0,crange,6.0,
35,lain,,,,,pseudo_court_simple,4.0,,,5.0,gloche,6.0,
36,lanc,,,,,pseudo_court_simple,4.0,,,6.0,jamion,6.0,
37,lane,,,,,pseudo_court_simple,4.0,,,7.0,maisin,6.0,
38,lant,,,,,pseudo_court_simple,4.0,,,8.0,oranas,6.0,
39,lase,,,,,pseudo_court_simple,4.0,,,9.0,orayon,6.0,
40,lone,,,,,pseudo_court_simple,4.0,,,10.0,salais,6.0,
41,lont,,,,,pseudo_court_simple,4.0,,,11.0,salise,6.0,
42,lour,,,,,pseudo_court_simple,4.0,,,12.0,solade,6.0,
43,loux,,,,,pseudo_court_simple,4.0,,,13.0,solant,6.0,
44,mief,,,,,pseudo_court_simple,4.0,,,14.0,volade,6.0,
45,mieu,,,,,pseudo_court_simple,4.0,,,15.0,voleil,6.0,
46,mobe,,,,,pseudo_court_simple,4.0,,,,,,
47,mone,,,,,pseudo_court_simple,4.0,,,,,,
48,mouf,,,,,pseudo_court_simple,4.0,,,,,,
49,moup,,,,,pseudo_court_simple,4.0,,,,,,
50,mour,,,,,pseudo_court_simple,4.0,,,,,,
51,moux,,,,,pseudo_court_simple,4.0,,,,,,
52,nafé,,,,,pseudo_court_simple,4.0,,,,,,
53,naie,,,,,pseudo_court_simple,4.0,,,,,,
54,nait,,,,,pseudo_court_simple,4.0,,,,,,
55,name,,,,,pseudo_court_simple,4.0,,,,,,
56,nanc,,,,,pseudo_court_simple,4.0,,,,,,
57,nane,,,,,pseudo_court_simple,4.0,,,,,,
58,nuic,,,,,pseudo_court_simple,4.0,,,,,,
59,nuie,,,,,pseudo_court_simple,4.0,,,,,,
60,nuin,,,,,pseudo_court_simple,4.0,,,,,,
61,oear,,,,,pseudo_court_simple,4.0,,,,,,
62,oeau,,,,,pseudo_court_simple,4.0,,,,,,
63,oenc,,,,,pseudo_court_simple,4.0,,,,,,
64,oent,,,,,pseudo_court_simple,4.0,,,,,,
65,oeue,,,,,pseudo_court_simple,4.0,,,,,,
66,oeur,,,,,pseudo_court_simple,4.0,,,,,,
67,pnef,,,,,pseudo_court_simple,4.0,,,,,,
68,pnel,,,,,pseudo_court_simple,4.0,,,,,,
69,pobe,,,,,pseudo_court_simple,4.0,,,,,,
70,ponc,,,,,pseudo_court_simple,4.0,,,,,,
71,pone,,,,,pseudo_court_simple,4.0,,,,,,
72,poto,,,,,pseudo_court_simple,4.0,,,,,,
73,poue,,,,,pseudo_court_simple,4.0,,,,,,
74,poup,,,,,pseudo_court_simple,4.0,,,,,,
75,rafé,,,,,pseudo_court_simple,4.0,,,,,,
76,raic,,,,,pseudo_court_simple,4.0,,,,,,
77,rant,,,,,pseudo_court_simple,4.0,,,,,,
78,ronc,,,,,pseudo_court_simple,4.0,,,,,,
79,rone,,,,,pseudo_court_simple,4.0,,,,,,
80,ront,,,,,pseudo_court_simple,4.0,,,,,,
81,roup,,,,,pseudo_court_simple,4.0,,,,,,
82,rour,,,,,pseudo_court_simple,4.0,,,,,,
83,scic,,,,,pseudo_court_simple,4.0,,,,,,
84,scin,,,,,pseudo_court_simple,4.0,,,,,,
85,scit,,,,,pseudo_court_simple,4.0,,,,,,
86,vafé,,,,,pseudo_court_simple,4.0,,,,,,
87,vage,,,,,pseudo_court_simple,4.0,,,,,,
88,vaic,,,,,pseudo_court_simple,4.0,,,,,,
89,vaie,,,,,pseudo_court_simple,4.0,,,,,,
90,vait,,,,,pseudo_court_simple,4.0,,,,,,
91,vame,,,,,pseudo_court_simple,4.0,,,,,,
92,vanc,,,,,pseudo_court_simple,4.0,,,,,,
93,vant,,,,,pseudo_court_simple,4.0,,,,,,
94,vave,,,,,pseudo_court_simple,4.0,,,,,,
95,vear,,,,,pseudo_court_simple,4.0,,,,,,
96,venc,,,,,pseudo_court_simple,4.0,,,,,,
97,vene,,,,,pseudo_court_simple,4.0,,,,,,
98,veue,,,,,pseudo_court_simple,4.0,,,,,,
99,veup,,,,,pseudo_court_simple,4.0,,,,,,
100,veur,,,,,pseudo_court_simple,4.0,,,,,,
1,aiant,,,,,pseudo_court_simple,5.0,,,,,,
2,aibon,,,,,pseudo_court_simple,5.0,,,,,,
3,ainte,,,,,pseudo_court_simple,5.0,,,,,,
4,aiver,,,,,pseudo_court_simple,5.0,,,,,,
5,ancal,,,,,pseudo_court_simple,5.0,,,,,,
6,auche,,,,,pseudo_court_simple,5.0,,,,,,
7,avace,,,,,pseudo_court_simple,5.0,,,,,,
8,avaci,,,,,pseudo_court_simple,5.0,,,,,,
9,avave,,,,,pseudo_court_simple,5.0,,,,,,
10,brace,,,,,pseudo_court_simple,5.0,,,,,,
11,brâce,,,,,pseudo_court_simple,5.0,,,,,,
12,brano,,,,,pseudo_court_simple,5.0,,,,,,
13,brice,,,,,pseudo_court_simple,5.0,,,,,,
14,brile,,,,,pseudo_court_simple,5.0,,,,,,
15,brulà,,,,,pseudo_court_simple,5.0,,,,,,
16,brule,,,,,pseudo_court_simple,5.0,,,,,,
17,brunt,,,,,pseudo_court_simple,5.0,,,,,,
18,claci,,,,,pseudo_court_simple,5.0,,,,,,
19,clane,,,,,pseudo_court_simple,5.0,,,,,,
20,clano,,,,,pseudo_court_simple,5.0,,,,,,
21,clave,,,,,pseudo_court_simple,5.0,,,,,,
22,cocre,,,,,pseudo_court_simple,5.0,,,,,,
23,coêle,,,,,pseudo_court_simple,5.0,,,,,,
24,coeue,,,,,pseudo_court_simple,5.0,,,,,,
25,coice,,,,,pseudo_court_simple,5.0,,,,,,
26,coile,,,,,pseudo_court_simple,5.0,,,,,,
27,glant,,,,,pseudo_court_simple,5.0,,,,,,
28,glave,,,,,pseudo_court_simple,5.0,,,,,,
29,glown,,,,,pseudo_court_simple,5.0,,,,,,
30,grâci,,,,,pseudo_court_simple,5.0,,,,,,
31,gribe,,,,,pseudo_court_simple,5.0,,,,,,
32,grice,,,,,pseudo_court_simple,5.0,,,,,,
33,grile,,,,,pseudo_court_simple,5.0,,,,,,
34,grule,,,,,pseudo_court_simple,5.0,,,,,,
35,grune,,,,,pseudo_court_simple,5.0,,,,,,
36,grure,,,,,pseudo_court_simple,5.0,,,,,,
37,hacal,,,,,pseudo_court_simple,5.0,,,,,,
38,hacre,,,,,pseudo_court_simple,5.0,,,,,,
39,hadio,,,,,pseudo_court_simple,5.0,,,,,,
40,hagur,,,,,pseudo_court_simple,5.0,,,,,,
41,hampa,,,,,pseudo_court_simple,5.0,,,,,,
42,heule,,,,,pseudo_court_simple,5.0,,,,,,
43,heuno,,,,,pseudo_court_simple,5.0,,,,,,
44,hiane,,,,,pseudo_court_simple,5.0,,,,,,
45,hiano,,,,,pseudo_court_simple,5.0,,,,,,
46,hiave,,,,,pseudo_court_simple,5.0,,,,,,
47,hinon,,,,,pseudo_court_simple,5.0,,,,,,
48,hinou,,,,,pseudo_court_simple,5.0,,,,,,
49,hinsi,,,,,pseudo_court_simple,5.0,,,,,,
50,hinte,,,,,pseudo_court_simple,5.0,,,,,,
51,hoeue,,,,,pseudo_court_simple,5.0,,,,,,
52,hoibe,,,,,pseudo_court_simple,5.0,,,,,,
53,hoice,,,,,pseudo_court_simple,5.0,,,,,,
54,honou,,,,,pseudo_court_simple,5.0,,,,,,
55,honsi,,,,,pseudo_court_simple,5.0,,,,,,
56,houre,,,,,pseudo_court_simple,5.0,,,,,,
57,lacre,,,,,pseudo_court_simple,5.0,,,,,,
58,ladio,,,,,pseudo_court_simple,5.0,,,,,,
59,laglà,,,,,pseudo_court_simple,5.0,,,,,,
60,lagle,,,,,pseudo_court_simple,5.0,,,,,,
61,lague,,,,,pseudo_court_simple,5.0,,,,,,
62,loile,,,,,pseudo_court_simple,5.0,,,,,,
63,loêle,,,,,pseudo_court_simple,5.0,,,,,,
64,loeue,,,,,pseudo_court_simple,5.0,,,,,,
65,loeur,,,,,pseudo_court_simple,5.0,,,,,,
66,loile,,,,,pseudo_court_simple,5.0,,,,,,
67,lonsi,,,,,pseudo_court_simple,5.0,,,,,,
68,moeur,,,,,pseudo_court_simple,5.0,,,,,,
69,moibe,,,,,pseudo_court_simple,5.0,,,,,,
70,moici,,,,,pseudo_court_simple,5.0,,,,,,
71,moilà,,,,,pseudo_court_simple,5.0,,,,,,
72,piaci,,,,,pseudo_court_simple,5.0,,,,,,
73,piave,,,,,pseudo_court_simple,5.0,,,,,,
74,pinou,,,,,pseudo_court_simple,5.0,,,,,,
75,pocal,,,,,pseudo_court_simple,5.0,,,,,,
76,poeur,,,,,pseudo_court_simple,5.0,,,,,,
77,poibe,,,,,pseudo_court_simple,5.0,,,,,,
78,poice,,,,,pseudo_court_simple,5.0,,,,,,
79,pouno,,,,,pseudo_court_simple,5.0,,,,,,
80,prâce,,,,,pseudo_court_simple,5.0,,,,,,
81,prâci,,,,,pseudo_court_simple,5.0,,,,,,
82,prane,,,,,pseudo_court_simple,5.0,,,,,,
83,price,,,,,pseudo_court_simple,5.0,,,,,,
84,prici,,,,,pseudo_court_simple,5.0,,,,,,
85,prilà,,,,,pseudo_court_simple,5.0,,,,,,
86,prile,,,,,pseudo_court_simple,5.0,,,,,,
87,racre,,,,,pseudo_court_simple,5.0,,,,,,
88,rague,,,,,pseudo_court_simple,5.0,,,,,,
89,règue,,,,,pseudo_court_simple,5.0,,,,,,
90,règur,,,,,pseudo_court_simple,5.0,,,,,,
91,siaci,,,,,pseudo_court_simple,5.0,,,,,,
92,siver,,,,,pseudo_court_simple,5.0,,,,,,
93,sussi,,,,,pseudo_court_simple,5.0,,,,,,
94,vocre,,,,,pseudo_court_simple,5.0,,,,,,
95,voêle,,,,,pseudo_court_simple,5.0,,,,,,
96,voeue,,,,,pseudo_court_simple,5.0,,,,,,
97,voibe,,,,,pseudo_court_simple,5.0,,,,,,
98,voice,,,,,pseudo_court_simple,5.0,,,,,,
99,vonsi,,,,,pseudo_court_simple,5.0,,,,,,
100,voure,,,,,pseudo_court_simple,5.0,,,,,,
1,balant,,,,,pseudo_court_simple,6.0,,,,,,
2,maisin,,,,,pseudo_court_simple,6.0,,,,,,
3,camais,,,,,pseudo_court_simple,6.0,,,,,,
4,solais,,,,,pseudo_court_simple,6.0,,,,,,
5,crange,,,,,pseudo_court_simple,6.0,,,,,,
6,cranas,,,,,pseudo_court_simple,6.0,,,,,,
7,orayon,,,,,pseudo_court_simple,6.0,,,,,,
8,gloche,,,,,pseudo_court_simple,6.0,,,,,,
9,salise,,,,,pseudo_court_simple,6.0,,,,,,
10,voleil,,,,,pseudo_court_simple,6.0,,,,,,
11,solant,,,,,pseudo_court_simple,6.0,,,,,,
12,oranas,,,,,pseudo_court_simple,6.0,,,,,,
13,cloire,,,,,pseudo_court_simple,6.0,,,,,,
14,valade,,,,,pseudo_court_simple,6.0,,,,,,
15,volade,,,,,pseudo_court_simple,6.0,,,,,,
16,jamion,,,,,pseudo_court_simple,6.0,,,,,,
17,salais,,,,,pseudo_court_simple,6.0,,,,,,
18,anange,,,,,pseudo_court_simple,6.0,,,,,,
19,solade,,,,,pseudo_court_simple,6.0,,,,,,
1,bali,,,,,pseudo_court_complexe,4.0,,,1.0,baté,4.0,
2,bant,,,,,pseudo_court_complexe,4.0,,,2.0,fécu,4.0,
3,baté,,,,,pseudo_court_complexe,4.0,,,3.0,fuée,4.0,
4,boie,,,,,pseudo_court_complexe,4.0,,,4.0,moli,4.0,
5,boli,,,,,pseudo_court_complexe,4.0,,,5.0,rans,4.0,
6,bonu,,,,,pseudo_court_complexe,4.0,,,6.0,rore,4.0,
7,bori,,,,,pseudo_court_complexe,4.0,,,7.0,sase,4.0,
8,bors,,,,,pseudo_court_complexe,4.0,,,8.0,seli,4.0,
9,bort,,,,,pseudo_court_complexe,4.0,,,9.0,sore,4.0,
10,boux,,,,,pseudo_court_complexe,4.0,,,10.0,susé,4.0,
11,buri,,,,,pseudo_court_complexe,4.0,,,11.0,tase,4.0,
12,burs,,,,,pseudo_court_complexe,4.0,,,12.0,vécs,4.0,
13,busé,,,,,pseudo_court_complexe,4.0,,,13.0,vées,4.0,
14,doie,,,,,pseudo_court_complexe,4.0,,,14.0,yecu,4.0,
15,doli,,,,,pseudo_court_complexe,4.0,,,15.0,yent,4.0,
16,dols,,,,,pseudo_court_complexe,4.0,,,1.0,ailif,5.0,
17,dori,,,,,pseudo_court_complexe,4.0,,,2.0,belet,5.0,
18,doue,,,,,pseudo_court_complexe,4.0,,,3.0,bevol,5.0,
19,dous,,,,,pseudo_court_complexe,4.0,,,4.0,chage,5.0,
20,fécs,,,,,pseudo_court_complexe,4.0,,,5.0,clour,5.0,
21,fécu,,,,,pseudo_court_complexe,4.0,,,6.0,enfur,5.0,
22,fuée,,,,,pseudo_court_complexe,4.0,,,7.0,galin,5.0,
23,fure,,,,,pseudo_court_complexe,4.0,,,8.0,impue,5.0,
24,furi,,,,,pseudo_court_complexe,4.0,,,9.0,naiet,5.0,
25,futs,,,,,pseudo_court_complexe,4.0,,,10.0,pasal,5.0,
26,livé,,,,,pseudo_court_complexe,4.0,,,11.0,relif,5.0,
27,moie,,,,,pseudo_court_complexe,4.0,,,12.0,remer,5.0,
28,moli,,,,,pseudo_court_complexe,4.0,,,13.0,ronal,5.0,
29,monu,,,,,pseudo_court_complexe,4.0,,,14.0,skiet,5.0,
30,mori,,,,,pseudo_court_complexe,4.0,,,15.0,têtit,5.0,
31,moux,,,,,pseudo_court_complexe,4.0,,,1.0,bartel,6.0,
32,mûrt,,,,,pseudo_court_complexe,4.0,,,2.0,bartes,6.0,
33,rali,,,,,pseudo_court_complexe,4.0,,,3.0,bottel,6.0,
34,rals,,,,,pseudo_court_complexe,4.0,,,4.0,carils,6.0,
35,rans,,,,,pseudo_court_complexe,4.0,,,5.0,doirée,6.0,
