Emoji,Description,Condition,Sentiment,Face_Type,Log_Frequency,Mean_Pixel_Value,Pixel_Standard_Deviation
ğŸ˜„,Smile,Positive_Face,Positive,Face,18.5,151.06,22.06
ğŸ˜»,Heart_Eyes_Cat,Positive_Face,Positive,Face,18.32,151.09,22.15
ğŸ˜‹,Yum,Positive_Face,Positive,Face,17.72,151.08,22.29
ğŸ˜†,Laughing,Positive_Face,Positive,Face,17.67,151.08,21.93
ğŸ˜™,Kissing_Smiling_Eyes,Positive_Face,Positive,Face,16.52,150.98,22.08
ğŸ˜¢,Cry,Negative_Face,Negative,Face,18.65,151.0,22.09
ğŸ˜ª,Sleepy,Negative_Face,Negative,Face,18.26,150.96,21.85
ğŸ˜£,Persevere,Negative_Face,Negative,Face,17.61,151.05,22.01
ğŸ˜ ,Angry,Negative_Face,Negative,Face,17.33,151.04,22.14
ğŸ˜Ÿ,Worried,Negative_Face,Negative,Face,16.7,151.02,22.16
ğŸ‘,Thumbs_Up,Positive_Non_Face,Positive,Non_Face,18.84,151.0,18.04
ğŸ™,Pray,Positive_Non_Face,Positive,Non_Face,18.82,150.95,22.16
ğŸ’–,Sparkling_Heart,Positive_Non_Face,Positive,Non_Face,18.45,150.94,20.07
ğŸ‰,Tada,Positive_Non_Face,Positive,Non_Face,17.88,151.07,20.05
ğŸŒŸ,Star,Positive_Non_Face,Positive,Non_Face,17.14,151.01,20.04
ğŸ’”,Broken_Heart,Negative_Non_Face,Negative,Non_Face,18.48,151.0,21.38
ğŸ‘,Thumbs_Down,Negative_Non_Face,Negative,Non_Face,17.23,151.06,17.76
ğŸš¨,Rotating_Light,Negative_Non_Face,Negative,Non_Face,15.46,151.08,22.15
ğŸ’Š,Pill,Negative_Non_Face,Negative,Non_Face,15.35,151.05,21.95
ğŸš«,No_Entry_Sign,Negative_Non_Face,Negative,Non_Face,15.3,151.04,21.25
