Stimuli,Stimuli Type
reversed_theatrical_Flo.wav,Audio
rvrs_guitar_Rocko.wav,Audio
rvrs_camera_Flo.wav,Audio
reversed_gorgeous_Flo.wav,Audio
rvrs_scrabble_Rocko.wav,Audio
rvrs_digrersher_Flo.wav,Audio
reversed_courch_Alex.wav,Audio
rvrs_whisperer_Rocko.wav,Audio
rvrs_experience_Flo.wav,Audio
reversed_counds_Daniel.wav,Audio
rvrs_courch_Flo.wav,Audio
reversed_gormassime_Rocko.wav,Audio
reversed_lets_Rocko.wav,Audio
reversed_shenanigan_Flo.wav,Audio
reversed_surfer_Rocko.wav,Audio
cow_1.jpg,Image
cow_2.jpg,Image
cow_3.jpg,Image
cow_4.jpg,Image
cow_5.jpg,Image
cow_6.jpg,Image
cow_7.jpg,Image