SUFFIXES,Affix,Type,summed_freq_0,normalized_freq_0,Unnamed: 5,PREFIXES,Affix.1,Type.1,summed_freq_1,normalized_freq_1,Unnamed: 11,Unnamed: 12,COMBINED,Affix.2,Type.2,summed_freq_2
,<re<,Prefix,6595.02,0.40304270345191734,,,>ment>,Suffix,5042.81,0.14475945572068272,,,,>[VB]>,Suffix,25208.97
,<a<,Prefix,2142.22,0.1309178956528966,,,>ion>,Suffix,3498.54,0.10042947210325934,,,,<re<,Prefix,6595.02
,<en<,Prefix,2094.69,0.12801318578164989,,,>ant/ent>,Suffix,3302.44,0.09480020404302589,,,,>ment>,Suffix,5042.81
,<dé<,Prefix,1752.69,0.10711247515748867,,,>eur>,Suffix,2127.06,0.06105961713513603,,,,>ion>,Suffix,3498.54
,<in<,Prefix,1478.96,0.09038396194359496,,,>ité>,Suffix,1491.88,0.042826070544115705,,,,>ant/ent>,Suffix,3302.44
,<é<,Prefix,320.17,0.019566609709174555,,,>nce>,Suffix,1491.29,0.04280913393954896,,,,<a<,Prefix,2142.22
,<as<,Prefix,248.66,0.015196405566678154,,,>al>,Suffix,1125.04,0.03229552135892426,,,,>eur>,Suffix,2127.06
,<sur<,Prefix,248.22,0.015169515763535958,,,>el>,Suffix,1103.4,0.03167432115074756,,,,<en<,Prefix,2094.69
,<pré<,Prefix,209.31,0.012791601581120424,,,>able>,Suffix,1042.69,0.029931573246939434,,,,<dé<,Prefix,1752.69
,<con<,Prefix,190.18,0.011622506276324506,,,>eux>,Suffix,1027.7,0.029501268666506493,,,,>ité>,Suffix,1491.88
,<trans<,Prefix,105.41,0.006441941248224661,,,>aire>,Suffix,853.76,0.02450812799135602,,,,>nce>,Suffix,1491.29
,<sous<,Prefix,98.6,0.0060257604314102224,,,>ique>,Suffix,852.45,0.02447052298799597,,,,<in<,Prefix,1478.96
,<pour<,Prefix,94.14,0.005753195608650693,,,>ier>,Suffix,847.1,0.024316945302517903,,,,>al>,Suffix,1125.04
,<au<,Prefix,87.29,0.005334570264277874,,,>é>,Suffix,846.24,0.024292258048403674,,,,>el>,Suffix,1103.4
,<ex<,Prefix,79.38,0.004851164939607946,,,>ain>,Suffix,805.68,0.023127938249713875,,,,>able>,Suffix,1042.69
,<co<,Prefix,73.72,0.0045052642900969735,,,>age>,Suffix,707.48,0.020308998303181877,,,,>eux>,Suffix,1027.7
,<inter<,Prefix,65.87,0.004025525756764619,,,>ure>,Suffix,595.65,0.017098794085048743,,,,>aire>,Suffix,853.76
,<par<,Prefix,44.24,0.002703647479569861,,,>eau>,Suffix,436.9,0.012541699212218241,,,,>ique>,Suffix,852.45
,<mi<,Prefix,38.47,0.0023510243792733395,,,>ie>,Suffix,435.78,0.01250954836965087,,,,>ier>,Suffix,847.1
,<pro<,Prefix,37.76,0.002307634015112069,,,>is[VB]>,Suffix,424.71,0.012191771738203728,,,,>é>,Suffix,846.24
,<mé<,Prefix,36.91,0.0022556878044964635,,,>if>,Suffix,409.41,0.011752568263845893,,,,>ain>,Suffix,805.68
,<extra<,Prefix,30.27,0.0018498962298051464,,,>on>,Suffix,331.19,0.009507176383828243,,,,>age>,Suffix,707.48
,<ad<,Prefix,28.56,0.0017453926766843404,,,>iste>,Suffix,322.75,0.009264896820195554,,,,>ure>,Suffix,595.65
,<syn<,Prefix,28.31,0.0017301143794444564,,,>er>,Suffix,316.04,0.009072278825885679,,,,>eau>,Suffix,436.9
,<com<,Prefix,28.22,0.0017246141924380982,,,>ifi[VB]>,Suffix,315.52,0.009057351648979398,,,,>ie>,Suffix,435.78
,<sus<,Prefix,20.16,0.0012320418894242403,,,>ice>,Suffix,312.58,0.008972955687240049,,,,>is[VB]>,Suffix,424.71
,<contre<,Prefix,19.71,0.0012045409543924492,,,>ette>,Suffix,295.43,0.00848064591042718,,,,>if>,Suffix,409.41
,<dia<,Prefix,19.02,0.0011623728540103696,,,>ien>,Suffix,291.01,0.008353764906723805,,,,>on>,Suffix,331.19
,<entre<,Prefix,18.95,0.001158094930783202,,,>esse>,Suffix,279.86,0.008033691786521852,,,,>iste>,Suffix,322.75
,<para<,Prefix,17.47,0.001067647411123089,,,>erie>,Suffix,267.48,0.007678310151714661,,,,<é<,Prefix,320.17
,<bi<,Prefix,13.32,0.0008140276769410159,,,>et>,Suffix,229.51,0.00658833917646191,,,,>er>,Suffix,316.04
,<tri<,Prefix,12.74,0.0007785820273444852,,,>ir>,Suffix,168.27,0.004830377034653156,,,,>ifi[VB]>,Suffix,315.52
,<hypo<,Prefix,10.42,0.0006367994289583623,,,>at>,Suffix,166.91,0.004791336725821347,,,,>ice>,Suffix,312.58
,<anti<,Prefix,9.51,0.0005811864270051848,,,>ième>,Suffix,159.55,0.004580059760378623,,,,>ette>,Suffix,295.43
,<anté<,Prefix,8.42,0.0005145730510392908,,,>oire>,Suffix,114.26,0.0032799600640605548,,,,>ien>,Suffix,291.01
,<mono<,Prefix,6.88,0.0004204587400416058,,,>ard>,Suffix,113.07,0.0032457997938327224,,,,>esse>,Suffix,279.86
,<péri<,Prefix,6.71,0.00041006949791848476,,,>oir>,Suffix,113.06,0.003245512732738371,,,,>erie>,Suffix,267.48
,<uni<,Prefix,6.45,0.00039418006878900547,,,>in>,Suffix,109.48,0.0031427448609605245,,,,<as<,Prefix,248.66
,<arch<,Prefix,4.61,0.00028173180110345974,,,>aud>,Suffix,106.03,0.003043708783409247,,,,<sur<,Prefix,248.22
,<sub<,Prefix,3.91,0.00023895256883178472,,,>ément>,Suffix,105.3,0.003022753323521586,,,,>et>,Suffix,229.51
,<pan<,Prefix,3.89,0.000237730305052594,,,>isme>,Suffix,100.85,0.002895011136535156,,,,<pré<,Prefix,209.31
,<pén<,Prefix,2.1,0.00012833769681502505,,,>ais>,Suffix,98.63,0.0028312835735891167,,,,<con<,Prefix,190.18
,<infra<,Prefix,2.06,0.0001258931692566436,,,>ère>,Suffix,86.54,0.00248422671051812,,,,>ir>,Suffix,168.27
,<hyper<,Prefix,1.93,0.00011794845469190395,,,>ités>,Suffix,83.33,0.0023920800992312794,,,,>at>,Suffix,166.91
,<rétro<,Prefix,1.8,0.00011000374012716432,,,>ois>,Suffix,80.02,0.0022970628770009236,,,,>ième>,Suffix,159.55
,<super<,Prefix,1.7,0.00010389242123121073,,,>ise>,Suffix,75.4,0.0021644406514105185,,,,>oire>,Suffix,114.26
,<ana<,Prefix,1.48,9.044751966011288e-05,,,>aine>,Suffix,72.18,0.0020720069790293263,,,,>ard>,Suffix,113.07
,<ab<,Prefix,1.44,8.800299210173144e-05,,,>ude>,Suffix,70.76,0.0020312443036314093,,,,>oir>,Suffix,113.06
,<épi<,Prefix,1.27,7.761374997861037e-05,,,>ing>,Suffix,68.61,0.001969526168345831,,,,>in>,Suffix,109.48
,<sé<,Prefix,1.22,7.455809053063358e-05,,,>ade>,Suffix,65.47,0.0018793889847194512,,,,>aud>,Suffix,106.03
,<eu<,Prefix,1.11,6.783563974508467e-05,,,>o>,Suffix,64.91,0.0018633135634357656,,,,<trans<,Prefix,105.41
,<per<,Prefix,1.01,6.172432084913108e-05,,,>ot>,Suffix,58.1,0.0016678249581823755,,,,>ément>,Suffix,105.3
,<hémi<,Prefix,1.0,6.111318895953573e-05,,,>ine>,Suffix,56.32,0.0016167280833878034,,,,>isme>,Suffix,100.85
,<ver<,Prefix,0.98,5.989092518034501e-05,,,>oy[VB]>,Suffix,56.23,0.0016141445335386396,,,,>ais>,Suffix,98.63
,<ob<,Prefix,0.93,5.683526573236823e-05,,,>dre>,Suffix,50.12,0.0014387502048898563,,,,<sous<,Prefix,98.6
,<dys<,Prefix,0.86,5.255734250520073e-05,,,>ifier>,Suffix,49.07,0.001408608789982946,,,,<pour<,Prefix,94.14
,<post<,Prefix,0.81,4.950168305722394e-05,,,>aille>,Suffix,42.56,0.0012217320175601015,,,,<au<,Prefix,87.29
,<soubre<,Prefix,0.53,3.238999014855394e-05,,,>asse>,Suffix,39.9,0.001145373766462595,,,,>ère>,Suffix,86.54
,<vi<,Prefix,0.41,2.5056407473409647e-05,,,>ol>,Suffix,39.38,0.0011304465895563159,,,,>ités>,Suffix,83.33
,<archi<,Prefix,0.36,2.200074802543286e-05,,,>sse>,Suffix,37.89,0.0010876744864979381,,,,>ois>,Suffix,80.02
,<ambi<,Prefix,0.34,2.0778484246242148e-05,,,>ifique>,Suffix,33.88,0.0009725629876629756,,,,<ex<,Prefix,79.38
,<apo<,Prefix,0.17,1.0389242123121074e-05,,,>ite>,Suffix,30.57,0.0008775457654326199,,,,>ise>,Suffix,75.4
,<sau<,Prefix,0.04,2.4445275583814294e-06,,,>an>,Suffix,29.29,0.0008408019453556244,,,,<co<,Prefix,73.72
,<ultra<,Prefix,0.03,1.8333956687860718e-06,,,>ail>,Suffix,29.13,0.0008362089678459999,,,,>aine>,Suffix,72.18
,<bis<,Prefix,0.03,1.8333956687860718e-06,,,>ide>,Suffix,29.06,0.0008341995401855392,,,,>ude>,Suffix,70.76
,<juxta<,Prefix,0.03,1.8333956687860718e-06,,,>ace>,Suffix,28.65,0.0008224300353171266,,,,>ing>,Suffix,68.61
,<su<,Prefix,0.0,0.0,,,>aume>,Suffix,27.78,0.0007974557201085437,,,,<inter<,Prefix,65.87
,<tres<,Prefix,0.0,0.0,,,>en>,Suffix,22.18,0.0006367015072716882,,,,>ade>,Suffix,65.47
,,,,,,,>ario>,Suffix,21.85,0.0006272284911580879,,,,>o>,Suffix,64.91
,,,,,,,>u>,Suffix,21.57,0.0006191907805162451,,,,>ot>,Suffix,58.1
,,,,,,,>iard>,Suffix,20.93,0.0006008188704777473,,,,>ine>,Suffix,56.32
,,,,,,,>euse>,Suffix,20.61,0.0005916329154584984,,,,>oy[VB]>,Suffix,56.23
,,,,,,,>is>,Suffix,19.93,0.0005721127610425946,,,,>dre>,Suffix,50.12
,,,,,,,>it[VB]>,Suffix,18.81,0.0005399619184752234,,,,>ifier>,Suffix,49.07
,,,,,,,>ou>,Suffix,18.39,0.0005279053525124593,,,,<par<,Prefix,44.24
,,,,,,,>re>,Suffix,17.02,0.0004885779825863,,,,>aille>,Suffix,42.56
,,,,,,,>elle>,Suffix,16.5,0.0004736508056800205,,,,>asse>,Suffix,39.9
,,,,,,,>ote>,Suffix,15.25,0.0004377681688860796,,,,>ol>,Suffix,39.38
,,,,,,,>oi[VB]>,Suffix,14.64,0.0004202574421306364,,,,<mi<,Prefix,38.47
,,,,,,,>end>,Suffix,14.51,0.00041652564790406655,,,,>sse>,Suffix,37.89
,,,,,,,>étique>,Suffix,13.49,0.00038724541628021075,,,,<pro<,Prefix,37.76
,,,,,,,>ogne>,Suffix,12.91,0.00037059587280782215,,,,<mé<,Prefix,36.91
,,,,,,,>ose>,Suffix,12.7,0.00036456758982644,,,,>ifique>,Suffix,33.88
,,,,,,,>ille>,Suffix,12.51,0.00035911342903376103,,,,>ite>,Suffix,30.57
,,,,,,,>icide>,Suffix,12.37,0.00035509457371283963,,,,<extra<,Prefix,30.27
,,,,,,,>il>,Suffix,12.29,0.0003527980849580274,,,,>an>,Suffix,29.29
,,,,,,,>iatre>,Suffix,11.39,0.00032696258646638997,,,,>ail>,Suffix,29.13
,,,,,,,>iatr>,Suffix,11.27,0.0003235178533341716,,,,>ide>,Suffix,29.06
,,,,,,,>ill[VB]>,Suffix,11.2,0.0003215084256737109,,,,>ace>,Suffix,28.65
,,,,,,,>um>,Suffix,10.79,0.00030973892080529827,,,,<ad<,Prefix,28.56
,,,,,,,>ole>,Suffix,10.76,0.0003088777375222437,,,,<syn<,Prefix,28.31
,,,,,,,>eresse>,Suffix,9.82,0.0002818939946532001,,,,<com<,Prefix,28.22
,,,,,,,>eron>,Suffix,9.63,0.0002764398338605211,,,,>aume>,Suffix,27.78
,,,,,,,>ande>,Suffix,9.63,0.0002764398338605211,,,,>en>,Suffix,22.18
,,,,,,,>ime>,Suffix,9.5,0.0002727080396339512,,,,>ario>,Suffix,21.85
,,,,,,,>igu[VB]>,Suffix,9.29,0.00026667975665256913,,,,>u>,Suffix,21.57
,,,,,,,>aise>,Suffix,9.25,0.00026553151227516305,,,,>iard>,Suffix,20.93
,,,,,,,>i>,Suffix,9.2,0.00026409620680340536,,,,>euse>,Suffix,20.61
,,,,,,,>aste>,Suffix,8.28,0.00023768658612306485,,,,<sus<,Prefix,20.16
,,,,,,,>in[VB]>,Suffix,8.26,0.0002371124639343618,,,,>is>,Suffix,19.93
,,,,,,,>ple>,Suffix,7.91,0.00022706532563205833,,,,<contre<,Prefix,19.71
,,,,,,,>erelle>,Suffix,7.8,0.00022390765359419151,,,,<dia<,Prefix,19.02
,,,,,,,>ûre>,Suffix,7.59,0.00021787937061280944,,,,<entre<,Prefix,18.95
,,,,,,,>estre>,Suffix,7.34,0.00021070284325402125,,,,>it[VB]>,Suffix,18.81
,,,,,,,>etés>,Suffix,7.22,0.0002072581101218029,,,,>ou>,Suffix,18.39
,,,,,,,>ané>,Suffix,6.66,0.00019118268883811738,,,,<para<,Prefix,17.47
,,,,,,,>eut>,Suffix,6.61,0.00018974738336635975,,,,>re>,Suffix,17.02
,,,,,,,>ule>,Suffix,6.53,0.00018745089461154752,,,,>elle>,Suffix,16.5
,,,,,,,>ium>,Suffix,6.48,0.0001860155891397899,,,,>ote>,Suffix,15.25
,,,,,,,>este>,Suffix,6.47,0.00018572852804543834,,,,>oi[VB]>,Suffix,14.64
,,,,,,,>ifère>,Suffix,6.34,0.0001819967338188685,,,,>end>,Suffix,14.51
,,,,,,,>urne>,Suffix,6.09,0.0001748202064600803,,,,>étique>,Suffix,13.49
,,,,,,,>oi>,Suffix,5.84,0.0001676436791012921,,,,<bi<,Prefix,13.32
,,,,,,,>esque>,Suffix,5.77,0.0001656342514408314,,,,>ogne>,Suffix,12.91
,,,,,,,>enda>,Suffix,5.69,0.0001633377626860192,,,,<tri<,Prefix,12.74
,,,,,,,>il[VB]>,Suffix,5.49,0.00015759654079898865,,,,>ose>,Suffix,12.7
,,,,,,,>aux1>,Suffix,5.45,0.00015644829642158254,,,,>ille>,Suffix,12.51
,,,,,,,>cule>,Suffix,5.41,0.00015530005204417643,,,,>icide>,Suffix,12.37
,,,,,,,>igne>,Suffix,5.3,0.00015214238000630962,,,,>il>,Suffix,12.29
,,,,,,,>ell>,Suffix,5.21,0.00014955883015714587,,,,>iatre>,Suffix,11.39
,,,,,,,>ore>,Suffix,5.19,0.00014898470796844283,,,,>iatr>,Suffix,11.27
,,,,,,,>énaire>,Suffix,4.3,0.00012343627057115686,,,,>ill[VB]>,Suffix,11.2
,,,,,,,>ate>,Suffix,4.15,0.00011913035415588396,,,,>um>,Suffix,10.79
,,,,,,,>éria>,Suffix,4.08,0.00011712092649542326,,,,>ole>,Suffix,10.76
,,,,,,,>ign[VB]>,Suffix,4.04,0.00011597268211801715,,,,<hypo<,Prefix,10.42
,,,,,,,>rium>,Suffix,3.94,0.00011310207117450187,,,,>eresse>,Suffix,9.82
,,,,,,,>èle>,Suffix,3.87,0.00011109264351404118,,,,>eron>,Suffix,9.63
,,,,,,,>ûres>,Suffix,3.82,0.00010965733804228353,,,,>ande>,Suffix,9.63
,,,,,,,>iller>,Suffix,3.81,0.00010937027694793201,,,,<anti<,Prefix,9.51
